EmployeeNumber,ExitReason,RehireEligibility,FinalPerformanceScore,ExitInterviewDate
1,Work-Life Balance,Yes,3,2025-11-15
4,Personal Reasons,No,4,2025-08-06
19,Work-Life Balance,Yes,2,2025-07-03
27,Lack of Career Growth,Conditional,3,2025-01-05
31,Compensation & Benefits,Conditional,4,2025-12-12
33,Compensation & Benefits,Conditional,3,2025-02-14
42,Career Change,Yes,3,2025-05-24
45,Retirement,Yes,3,2025-11-09
47,Work-Life Balance,Conditional,3,2025-02-12
55,Lack of Career Growth,Yes,3,2025-03-03
58,Career Change,Conditional,3,2025-01-08
64,Personal Reasons,Conditional,4,2025-06-28
65,Relocation,Conditional,1,2025-08-11
90,Compensation & Benefits,Yes,3,2025-09-05
118,Compensation & Benefits,Yes,4,2025-12-03
133,Compensation & Benefits,Conditional,4,2025-05-05
137,Compensation & Benefits,Yes,3,2025-05-19
142,Work-Life Balance,Yes,3,2025-11-14
147,Lack of Career Growth,Yes,3,2025-10-04
161,Lack of Career Growth,Conditional,2,2025-09-13
163,Work-Life Balance,No,3,2025-10-25
165,Compensation & Benefits,Yes,3,2025-02-08
167,Compensation & Benefits,Yes,3,2025-08-07
175,Work-Life Balance,No,2,2025-08-14
179,Workplace Culture,Conditional,4,2025-03-06
190,Relocation,Yes,4,2025-01-23
235,Compensation & Benefits,Yes,3,2025-01-25
243,Workplace Culture,Conditional,3,2025-01-01
248,Work-Life Balance,No,3,2025-07-02
261,Career Change,No,3,2025-05-08
282,Work-Life Balance,No,3,2025-08-19
283,Compensation & Benefits,Yes,2,2025-07-19
291,Career Change,Yes,4,2025-06-06
297,Personal Reasons,Conditional,3,2025-03-07
299,Personal Reasons,Conditional,4,2025-03-08
300,Relocation,Conditional,3,2025-10-20
315,Compensation & Benefits,Conditional,3,2025-01-20
325,Compensation & Benefits,Yes,3,2025-07-27
328,Lack of Career Growth,Yes,4,2025-04-06
331,Lack of Career Growth,No,4,2025-09-01
342,Compensation & Benefits,No,1,2025-05-27
355,Workplace Culture,No,1,2025-07-01
364,Career Change,No,3,2025-04-22
376,Retirement,Conditional,3,2025-02-10
392,Compensation & Benefits,Yes,4,2025-05-27
394,Work-Life Balance,Yes,2,2025-10-01
401,Lack of Career Growth,Yes,3,2025-06-06
405,Workplace Culture,Yes,3,2025-04-13
433,Lack of Career Growth,Yes,4,2025-08-20
440,Compensation & Benefits,Yes,3,2025-08-15
445,Personal Reasons,Yes,3,2025-08-05
454,Work-Life Balance,Yes,3,2025-04-12
478,Retirement,Yes,3,2025-02-27
485,Retirement,Yes,3,2025-03-19
488,Lack of Career Growth,Yes,2,2025-04-04
492,Personal Reasons,Conditional,4,2025-10-11
494,Career Change,Yes,3,2025-11-05
502,Workplace Culture,Yes,4,2025-04-11
510,Career Change,Yes,4,2025-10-08
514,Compensation & Benefits,No,3,2025-06-06
538,Workplace Culture,Yes,3,2025-08-23
554,Compensation & Benefits,No,4,2025-10-14
555,Retirement,Yes,3,2025-11-12
565,Compensation & Benefits,Yes,3,2025-10-13
566,Compensation & Benefits,Yes,3,2025-08-18
582,Work-Life Balance,Yes,2,2025-09-01
584,Compensation & Benefits,No,4,2025-08-28
587,Relocation,No,3,2025-11-12
590,Career Change,Conditional,3,2025-12-04
593,Personal Reasons,Yes,3,2025-04-05
608,Work-Life Balance,Yes,3,2025-08-05
614,Compensation & Benefits,No,3,2025-08-10
622,Career Change,Yes,2,2025-01-28
631,Retirement,Yes,3,2025-10-09
647,Work-Life Balance,Yes,3,2025-06-19
648,Work-Life Balance,Yes,3,2025-08-09
650,Relocation,Conditional,3,2025-06-11
667,Career Change,Conditional,4,2025-07-01
684,Workplace Culture,No,3,2025-05-21
701,Compensation & Benefits,Yes,3,2025-10-14
702,Relocation,Yes,4,2025-04-22
720,Lack of Career Growth,Yes,3,2025-07-25
723,Lack of Career Growth,Yes,2,2025-01-22
741,Compensation & Benefits,Yes,1,2025-07-19
752,Compensation & Benefits,No,3,2025-08-15
780,Workplace Culture,No,3,2025-05-15
785,Work-Life Balance,Yes,3,2025-09-21
787,Work-Life Balance,Conditional,3,2025-09-10
796,Personal Reasons,No,2,2025-04-25
811,Lack of Career Growth,Yes,1,2025-05-26
816,Compensation & Benefits,No,3,2025-09-03
819,Work-Life Balance,Yes,3,2025-04-25
825,Work-Life Balance,Yes,3,2025-10-11
828,Work-Life Balance,Yes,3,2025-06-02
840,Relocation,No,4,2025-07-18
842,Lack of Career Growth,Yes,3,2025-11-02
848,Work-Life Balance,Yes,3,2025-11-17
881,Lack of Career Growth,Yes,3,2025-11-27
896,Career Change,Yes,3,2025-12-27
911,Compensation & Benefits,Conditional,3,2025-03-22
918,Career Change,No,4,2025-08-25
922,Lack of Career Growth,Yes,4,2025-07-20
923,Compensation & Benefits,Yes,2,2025-06-21
926,Work-Life Balance,Yes,4,2025-08-01
927,Retirement,Yes,3,2025-01-11
932,Compensation & Benefits,Yes,3,2025-06-26
952,Workplace Culture,Yes,3,2025-12-18
959,Work-Life Balance,Yes,4,2025-05-17
